,
date edited,Changelog
,I've given up on consolidating the buffs for this game
,Added a separate page for [Assembly]
,
2025-05-21 00:00:00,Changed Scarde's Trans & Equip Build
,Changed Amy's Trans Traits
,Revamped Equipment Section [WIP]
,Removed JCE Page [just pick meta units]
,
2025-05-14 00:00:00,Keys have been updated to Lire (S)'s release.
,Content Usage updated for characters up to Cindy T's release
,Cindy T's build has been added.
,"[actual keys are updated during global release, comps for KR release]"
,Added a page for Vulcanus Subjugation with examples of party comps to use
,Slightly revised what keys are shown in Content Keys (GB updated for example)
,
2025-05-09 00:00:00,Content Usage/Trans Traits updated for each character on their individual page
,PvE Meta adjusted for units with one purpose. Slightly moved down.
,World Boss & Content Keys slightly updated
,
2025-05-03 00:00:00,"Arme, Cindy, Both Ganymedes, Hwarin (T), Io, Lass, Ley (T), Mayden (T), Nelia (T), Rufus, Scarde, Vice, Urara, & Zero (T)'s builds updated to reflect their usage as of Nepteon's release"
,World Boss updated
,"WIP Pages: Equipment Preset, Beginner Guide v4"
,Pve Meta Updated
,
2025-04-27 00:00:00,Content Keys updates. Added videos & keys to some areas.
,Table of Contents Revamped
,World Boss Aggro updated
,Pve Meta updated
,
2025-04-19 00:00:00,Support Party Recommendations got updated to match the PvE Revamp
,Updated World Boss Aggro! Up until Lire (S)'s release
,Edited the accessories on tanks for Builds
,Ran Spell Check on the document again
,Updated PvP Meta
,
2025-04-12 00:00:00,Character Builds slightly updated to match the current patch in KR
,Content Keys / World Boss updated
,
2025-04-08 00:00:00,Individual Character's Content Usage updated in their pages
,PvE/PvP Meta was updated
,Added Lire (S) stuff
,
2025-03-11 00:00:00,Updated PvE Meta placings in accordance to KR's release of Mayden (T)
,
2025-03-11 00:00:00,Changed Asin & Rin's attribute to Ruin / Started worSieg T on PvP meta [post revamp]
,New World Boss tab. Attempting to consolidate current meta combinations
,Ran Spell Check on the sheet
,Creative liberties on icons
,
2025-03-01 00:00:00,Edited Artifact selection for certain Rangers
,Revised PvE Meta slightly
,Updated Ai (T)'s usage
,
2025-02-21 00:00:00,Added Ai (T) Build
,
2025-02-18 00:00:00,Condensed the Content Key pages into one / Revised Table of Contents to reflect this
,Updated the equipment builds for all rangers [Crit ftw]
,
2025-02-12 00:00:00,Stopped maSieg T the Beginner's Guide less word. Gave up. Too much information to do that.
,Changed Ganymede (T)'s name from Ganyu (T) to Gany (T) [Sorry. Jokes Not Funny]
,PvE Meta updates
,
2025-02-10 00:00:00,"Updated all units ""Content's Used"" up to Vice's release in their pages"
,
2025-02-09 00:00:00,Removed Orange set being rec'd for DPS heroes in Equipment
,Revised Pve Meta ever so slightly to include WB heroes
,Added WB videos for KR
,
2025-02-04 00:00:00,Created a new World Boss tab for WB Keys / Comps to include KR meta for new phases
,
2025-01-29 00:00:00,Updated Rin (T) & Myst (T)'s transcendence traits [i think]
,
2025-01-28 00:00:00,"Removed ""Nightmare"" from the Beginner's guide. Replaced with ""Events"""
,Updated Content Keys & Alt Keys to account for the addition of Myst (T)
,Updated PvE Meta / Revised tiers & ranSieg T up to Uno's release
,"Added ""Sea of Eternity"" to Beginner's Guide [?]"
,
2025-01-24 00:00:00,Changed Tia (T)'s equipment set
,
2025-01-17 00:00:00,Added Key for Rufus in WB
,
2025-01-16 00:00:00,Updated Usage & Build for Rufus
,Updated build for Karina
,
2025-01-08 00:00:00,Updated the build for Karina
,Added AH & AoT
,
2025-01-07 00:00:00,"Edited Content Used For: Decanee (T), Myst (T), Scarde (T)"
,Added Uno (S) stuff
,Revised PvE Meta
,
2024-12-28 00:00:00,Added Myst (T)'s Build
,
2024-12-22 00:00:00,Updated PvP Meta slightly w/ key's from Airo
,
2024-12-16 00:00:00,Fixed certain instances of where Werner & Werner (T)'s icons were swapped
,
2024-12-13 00:00:00,"Finished ""Contents Used"" for each unit"
,Started V3 of Beginner's Guide to Copy + Paste in the Discord
,
2024-12-12 00:00:00,"Added Werner (T), Asin, & Callisto to the Unit Buff List"
,Revised PvE Meta up to Karina's release
,Added Karina's data to her tab; Decanee
,
2024-12-06 00:00:00,Added Wiz's Lab as a place to reset gems in the Beginner's Guide
,Added Karina's Predicted Build
,
2024-12-04 00:00:00,Revised PvE Meta
,Changed Set from CDR to CRI(T) for Ryan (T)
,Increased 5th Hero Trait points to 3/5
,
2024-12-01 00:00:00,Added Content Usage for Characters up to ...uhm... Urara [too lazy to add the last 3]
,"Added icons up to Edel, will finish later."
,
2024-11-27 00:00:00,Finalised the Beginner's Guide.
,
2024-11-25 00:00:00,"Added keys for Merc [Ganyu], updated for Life Void, Berkas, Retribution Void"
,Fixed some icons
,
2024-11-20 00:00:00,Starting organising icons to enable hot swapping [gatekeeping newbies]
,Revised the Equipment Tab to reflect actual usage vs rec'd builds
,Updated Content RanSieg Ts up to LIRE in their respective tabs
,Changed 2 or 3 names to something more appropriate
,Added World Boss Key for Ganymede (T)
,
2024-11-18 00:00:00,Added hero names to Equipment and SI page
,
2024-11-17 00:00:00,Updated Beginner's Guide | Not finished but it's good enough
,
2024-11-14 00:00:00,Added Equip and SI to Unitdata
,
2024-11-06 00:00:00,"Redid the Table of Content, removing the Changelog & maSieg T it its own tab [again?]"
,Added Nelia to the PvP meta page [she was missing; dead in a ditch]
,Removed & edited certain icons to reflect revamp on material
,Future-Proofed LU icons for Content & Alt Keys
,Changed colors on certain tabs
,Added General Content Keys
,
2024-11-06 00:00:00,Added trait points to Character pages
,"If you find sussy character builds, report to discord"
,
2024-11-05 00:00:00,Cahnged Urara's CS Build -ew typo-
,Character Page template updated with more trait points clarity. pasting soon
,
2024-11-04 00:00:00,Added a Link to go back to the Build's Index at the top of Character Pages
,All-In-One Page revised / Link Added to the Bottom of the Builds Page
,Added Content for up to Ganymede / Revised the Heroes before her
,Uploading assets to the cloud so that Icons can have everything
,Started Drafting a new Beginner's Guide / PvE Meta [Not Here]
,Fixed Transcendence Traits for Amy (T) & Scarde (T)
,Added Contributors to the Table of Contents <3
,Updated for Keys for World Boss & Void
,
2024-11-03 00:00:00,Fixed Lass (T) and Mari (T) Hero (T)rait showing SDI instead of BDI
,
2024-10-30 00:00:00,Resized PvE Meta's Sizing; Will not compensate for Ganymede T's long ass name
,Updated my Current Activity to be relevant to my daily activities [?]
,Updated a portion of the Beginner's Guide
,Added Transcendence Traits for all heroes
,Removed Bastet from PvE Meta
,Edited Io (T)'s entry in PvE Meta
,
2024-10-26 00:00:00,Added content up to Lapis. Revised up to Asin. [Makes copying & pasting it easier]
,Corrected Callisto (T)'s accessories for both build pages
,Added better tips for PvP & Arena in the PvP Meta tab
